votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S357,S331,S293,S153,S407,S387,S388,S399,S359,S408,S361,S344,S395,S236,S345,S362,S406,S389,S363,S311,S378,S057,S346,S405,S409,S410,S338,S369,S411,S174,S306,S322,S347,S288,S364,S229,S348,S380,S349,S259,S323,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S412,S390,S327,S366,S316,S318,S247,S391,S414,S413,S415
90,117-1-90,2021-03-06 05:42:00,1/2,Motion Rejected,On the Motion (Capito Motion to Commit H.R. 1319 to the Committee on Finance with Instructions ),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,3,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
91,117-1-91,2021-03-06 06:08:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1395 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,0,1,0,0,3,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
92,117-1-92,2021-03-06 06:31:00,1/2,Motion Rejected,On the Motion (Cotton Motion to Commit H.R. 1319 to the Committee on Finance with Instructions),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,3,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
93,117-1-93,2021-03-06 07:05:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 996 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
94,117-1-94,2021-03-06 07:30:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Lankford Amdt. No. 1031),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
95,117-1-95,2021-03-06 08:06:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 969 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
96,117-1-96,2021-03-06 08:41:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1364 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
97,117-1-97,2021-03-06 08:58:00,3/5,Motion Rejected,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: Tuberville Amdt. No. 1386),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
98,117-1-98,2021-03-06 09:11:00,1/2,Motion Rejected,On the Motion (Motions to Commit to H.R. 1319 to Eleven Committees Considered En Bloc),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
99,117-1-99,2021-03-06 09:24:00,1/2,Motion Rejected,On the Motion (Kennedy Motion to Commit H.R. 1319 to Committee on Small Business and Entrepreneurship with Instructions),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,3,0.0,0.0,0.0
100,117-1-100,2021-03-06 09:35:00,1/2,Motion Rejected,On the Motion (Scott (FL) Motion to Commit H.R. 1319 to Committee on Homeland Security and Governmental Affairs with Instructions),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
101,117-1-101,2021-03-06 09:48:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1381 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
102,117-1-102,2021-03-06 10:00:00,1/2,Motion Rejected,"On the Motion (Cornyn Motion to Commit H.R. 1319 to the Committee on Health, Education, Labor, and Pensions with Instructions)",0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
103,117-1-103,2021-03-06 10:12:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1162 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
104,117-1-104,2021-03-06 10:24:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 968 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
105,117-1-105,2021-03-06 10:39:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1331 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
106,117-1-106,2021-03-06 10:50:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 902 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0
107,117-1-107,2021-03-06 11:02:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1154 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
108,117-1-108,2021-03-06 11:17:00,1/2,Motion Rejected,On the Motion (Motion to Commit H.R. 1319 to the Committee on Foreign Relations),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
109,117-1-109,2021-03-06 11:29:00,1/2,Amendment Agreed to,On the Amendment S.Amdt. 1391 to S.Amdt. 891 to H.R. 1319 (American Rescue Plan Act of 2021),1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
110,117-1-110,2021-03-06 12:12:00,1/2,Bill Passed,On Passage of the Bill H.R. 1319,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,3,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
111,117-1-111,2021-03-09 17:32:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-6,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,3,0,0,0,1,1,0,1,0,1,1,1,0,,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1.0,1.0,1.0
112,117-1-112,2021-03-09 18:18:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-7,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
113,117-1-113,2021-03-10 12:01:00,1/2,Nomination Confirmed,On the Nomination PN78-6,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1.0,1.0,1.0
114,117-1-114,2021-03-10 14:15:00,1/2,Nomination Confirmed,On the Nomination PN78-7,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
115,117-1-115,2021-03-10 14:48:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-16,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1.0,1.0,1.0
116,117-1-116,2021-03-10 17:15:00,1/2,Nomination Confirmed,On the Nomination PN78-16,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1.0,1.0,1.0
117,117-1-117,2021-03-11 12:03:00,1/2,Motion to Discharge Agreed to,On the Motion to Discharge PN78-2,1,0,1,0,1,0,1,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
118,117-1-118,2021-03-11 13:34:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-11,1,0,1,0,1,0,1,0,0,1,3,1,0,1,1,1,3,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,0,0,0,0,1,1,3,1,1,0,1,0,,1,0,1,1,0,0,1,1,3,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
119,117-1-119,2021-03-15 17:39:00,1/2,Nomination Confirmed,On the Nomination PN78-11,1,3,3,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,3,,1,0,1,3,3,0,0,0,0,1,1,0,1,1,0,1,0,,1,3,1,1,3,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,3,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,3,0,1,1,1,1,0,1,0,1.0,1.0,1.0
120,117-1-120,2021-03-16 12:04:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-9,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,,1,0,1,1,3,1,1,1,1,1,1,0,1,1,1,1,0,,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
121,117-1-121,2021-03-16 14:26:00,1/2,Nomination Confirmed,On the Nomination PN78-9,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,,1,0,1,1,3,1,1,1,1,1,1,0,1,1,1,1,0,,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1.0,1.0,1.0
122,117-1-122,2021-03-16 15:04:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
123,117-1-123,2021-03-17 11:38:00,1/2,Nomination Confirmed,On the Nomination PN78-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
124,117-1-124,2021-03-17 12:16:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-2,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,3,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
125,117-1-125,2021-03-18 11:59:00,1/2,Nomination Confirmed,On the Nomination PN78-2,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,3,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
126,117-1-126,2021-03-18 13:30:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78-23,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,,1,0,1,1,3,1,0,0,0,1,1,3,1,1,0,1,1,,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1.0,1.0,1.0
127,117-1-127,2021-03-22 17:30:00,1/2,Nomination Confirmed,On the Nomination PN78-23,1,0,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,,1,0,1,1,1,0,1,1,0,3,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,3,1,1,1,1,1,0,1,0,1.0,1.0,1.0
128,117-1-128,2021-03-23 11:57:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-13,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
129,117-1-129,2021-03-23 14:16:00,1/2,Nomination Confirmed,On the Nomination PN79-13,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
130,117-1-130,2021-03-23 15:01:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN79-11,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
131,117-1-131,2021-03-23 17:29:00,1/2,Nomination Confirmed,On the Nomination PN79-11,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
132,117-1-132,2021-03-24 11:40:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN121,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
133,117-1-133,2021-03-24 12:18:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
134,117-1-134,2021-03-24 16:53:00,1/2,Nomination Confirmed,On the Nomination PN121,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
135,117-1-135,2021-03-24 17:33:00,1/2,Nomination Confirmed,On the Nomination PN118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
136,117-1-136,2021-03-24 18:02:00,3/5,Cloture Motion Agreed to,On the Cloture Motion H.R. 1799,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0
137,117-1-137,2021-03-25 10:53:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1401 to H.R. 1799 (PPP Extension Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
138,117-1-138,2021-03-25 12:11:00,1/2,Amendment Rejected,On the Amendment S.Amdt. 1405 to H.R. 1799 (PPP Extension Act of 2021),0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0.0,0.0
139,117-1-139,2021-03-25 12:50:00,3/5,Motion Agreed to,On the Motion (Motion to Waive All Applicable Budgetary Discipline Re: H.R. 1799),1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1.0,1.0,1.0
