votenumber,voteid,votedate,majorityreq,result,votedesc,S289,S354,S317,S330,S396,S341,S342,S370,S343,S397,S307,S300,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S254,S376,S221,S357,S377,S331,S293,S153,S387,S388,S399,S359,S361,S344,S395,S236,S305,S345,S393,S362,S389,S363,S311,S378,S057,S346,S338,S369,S174,S400,S306,S322,S347,S288,S364,S229,S348,S379,S380,S349,S259,S323,S260,S401,S402,S381,S350,S313,S382,S353,S270,S404,S365,S324,S184,S403,S394,S284,S383,S314,S303,S384,S351,S326,S390,S327,S366,S316,S318,S247,S391
28,116-1-28,2019-02-25 18:12:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN239,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,3,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,3,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
29,116-1-29,2019-02-26 16:54:00,1/2,Nomination Confirmed,On the Nomination PN239,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
30,116-1-30,2019-02-26 17:33:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN89,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
31,116-1-31,2019-02-27 12:33:00,1/2,Nomination Confirmed,On the Nomination PN89,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
32,116-1-32,2019-02-27 13:18:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN22,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,3,1,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
33,116-1-33,2019-02-28 12:39:00,1/2,Nomination Confirmed,On the Nomination PN22,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
34,116-1-34,2019-03-04 17:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN251,1,0,1,0,1,0,1,0,1,1,3,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,3,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,3,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
35,116-1-35,2019-03-05 16:01:00,1/2,Nomination Confirmed,On the Nomination PN251,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,3,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
36,116-1-36,2019-03-05 16:31:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN248,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,3,1,0,0,1,1,0,1,3,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
37,116-1-37,2019-03-06 16:02:00,1/2,Nomination Confirmed,On the Nomination PN248,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,3,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
