votenumber,voteid,votedate,majorityreq,result,votedesc,S354,S317,S330,S396,S341,S370,S343,S397,S416,S307,S417,S275,S372,S308,S277,S309,S373,S252,S337,S287,S385,S374,S398,S266,S355,S375,S386,S253,S376,S221,S418,S357,S331,S293,S153,S407,S388,S399,S359,S408,S361,S344,S395,S345,S362,S406,S389,S363,S311,S378,S346,S409,S410,S338,S369,S411,S174,S306,S322,S347,S419,S288,S364,S229,S414,S413,S348,S380,S259,S423,S323,S401,S402,S381,S350,S313,S353,S420,S270,S404,S365,S324,S403,S394,S284,S383,S314,S303,S384,S412,S390,S421,S327,S415,S366,S422,S316,S318,S247,S391,S424
22,118-1-22,2023-02-16 23:27:00,1/2,Nomination Confirmed,On the Nomination PN73,1,0,1,0,1,1,0,0,0,3,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,3,1,1,1,1,1,0,1,0,
23,118-1-23,2023-02-16 12:20:00,1/2,Nomination Confirmed,On the Nomination PN3,1,0,1,0,1,1,0,0,0,3,0,1,1,1,1,3,0,1,1,0,1,0,3,0,0,0,1,1,0,1.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,3,1,1,1,1,1,1,1,1,
24,118-1-24,2023-02-16 13:40:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN91,1,0,1,0,1,1,0,0,0,3,0,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,1,1,0,1.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,3,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,3,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,3,1,1,1,1,1,0,1,0,
25,118-1-25,2023-02-27 17:34:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN78,1,3,1,0,1,1,0,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,3,0,1,0,0,3,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,0,1,1,1,1,1,0,1,0,
26,118-1-26,2023-02-28 11:27:00,1/2,Nomination Confirmed,On the Nomination PN78,1,0,1,0,1,1,0,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,3,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,0,1,1,1,1,1,0,1,0,
27,118-1-27,2023-02-28 12:20:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN75,1,0,1,0,1,1,0,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,0,1,1,1,1,1,0,1,0,
28,118-1-28,2023-02-28 14:15:00,1/2,Nomination Confirmed,On the Nomination PN75,1,0,1,0,1,1,0,0,0,1,3,1,0,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,0,1,1,1,1,1,0,1,0,
29,118-1-29,2023-02-28 14:53:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN76,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,3,0,1,0,1,1,1,1,1,0,1,0,
30,118-1-30,2023-02-28 16:27:00,1/2,Nomination Confirmed,On the Nomination PN76,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
31,118-1-31,2023-02-28 17:44:00,1/2,Cloture Motion Agreed to,On the Cloture Motion PN77,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
32,118-1-32,2023-03-01 11:31:00,1/2,Nomination Confirmed,On the Nomination PN77,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,3,0,0,1,1,0,3.0,3,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,3,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,
